date;usd_ars_sell
2019-02-19;38.8
2019-02-20;39.27
2019-02-21;39.67
2019-02-22;39.53
2019-02-23;39.22
2019-02-26;39.05
2019-02-27;38.87
2019-02-28;38.82
2019-03-01;39.15
2019-03-02;39.81
2019-03-07;40.75
2019-03-08;42.5
2019-03-09;41.2
2019-03-12;41.3
2019-03-13;41.5
2019-03-14;41.2
2019-03-15;40.77
2019-03-16;40
2019-03-19;40
2019-03-20;40.5
2019-03-21;40.85
2019-03-22;41.05
2019-03-23;41.8
2019-03-26;42.08
2019-03-27;42.64
2019-03-28;43.87
2019-03-29;43.63
2019-03-30;43.35
2019-04-02;42.71
2019-04-04;42.87
2019-04-05;43.41
2019-04-06;43.93
2019-04-09;43.7
2019-04-10;43.35
2019-04-11;43.01
2019-04-12;42.75
2019-04-13;42.18
2019-04-16;41.62
2019-04-17;42.39
2019-04-18;41.9
2019-04-23;42.48
2019-04-24;42.4
2019-04-25;43.95
2019-04-26;44.9
2019-04-27;45.97
2019-04-30;44.15
2019-05-01;44.15
2019-05-03;44.8
2019-05-04;44.44
2019-05-07;44.65
2019-05-08;45.33
2019-05-09;45.1
2019-05-10;45.25
2019-05-11;44.8
2019-05-14;45.1
2019-05-15;44.97
2019-05-16;45
2019-05-17;44.79
2019-05-18;45
2019-05-21;45.19
2019-05-22;44.77
2019-05-23;44.9
2019-05-24;45.09
2019-05-25;44.82
2019-05-28;44.85
2019-05-29;44.69
2019-05-30;44.45
2019-05-31;44.55
2019-06-01;44.76
2019-06-04;44.87
2019-06-05;44.71
2019-06-06;44.9
2019-06-07;44.93
2019-06-08;44.85
2019-06-11;44.9
2019-06-12;44.7
2019-06-13;43.67
2019-06-14;43.37
2019-06-15;43.97
2019-06-19;43.48
2019-06-20;43.3
2019-06-22;42.79
2019-06-25;42.44
2019-06-26;42.38
2019-06-27;42.73
2019-06-28;42.7
2019-06-29;42.46
2019-07-02;42.37
2019-07-03;42.2
2019-07-04;42.03
2019-07-05;41.84
2019-07-06;41.85
2019-07-11;41.82
2019-07-12;41.7
2019-07-13;41.6
2019-07-16;42.4
2019-07-17;42.66
2019-07-18;42.5
2019-07-19;42.45
2019-07-20;42.42
2019-07-23;42.45
2019-07-24;42.66
2019-07-25;42.87
2019-07-26;43.37
2019-07-27;43.35
2019-07-30;43.83
2019-07-31;43.88
2019-08-01;43.88
2019-08-02;44.36
2019-08-03;44.65
2019-08-06;45.49
2019-08-07;45.3
2019-08-08;45.59
2019-08-09;45.22
2019-08-10;45.25
2019-08-13;53
2019-08-14;55.8
2019-08-15;60.4
2019-08-16;57.25
2019-08-17;55
2019-08-21;54.75
2019-08-22;55.02
2019-08-23;55.09
2019-08-24;55.15
2019-08-27;55.29
2019-08-28;56.3
2019-08-29;58.1
2019-08-30;57.9
2019-08-31;59.51
2019-09-03;56
2019-09-04;55.98
2019-09-05;56
2019-09-06;56.01
2019-09-07;55.82
2019-09-10;56.02
2019-09-11;56.01
2019-09-12;56.18
2019-09-13;56.1
2019-09-14;56.11
2019-09-17;56.28
2019-09-18;56.5
2019-09-19;56.52
2019-09-20;56.57
2019-09-21;56.67
2019-09-24;56.92
2019-09-25;56.87
2019-09-26;57.05
2019-09-27;57.21
2019-09-28;57.32
2019-10-01;57.59
2019-10-02;57.64
2019-10-03;57.82
2019-10-04;57.73
2019-10-05;57.73
2019-10-08;57.84
2019-10-09;57.85
2019-10-10;57.99
2019-10-11;57.98
2019-10-12;58.05
2019-10-16;58.27
2019-10-17;58.35
2019-10-18;58.32
2019-10-19;58.35
2019-10-22;58.51
2019-10-23;58.65
2019-10-24;59
2019-10-25;59.45
2019-10-26;60
2019-10-29;59.5
2019-10-30;59.47
2019-10-31;59.67
2019-11-01;59.67
2019-11-02;59.75
2019-11-05;59.7
2019-11-06;59.65
2019-11-08;59.6
2019-11-09;59.5
2019-11-12;59.95
2019-11-13;59.7
2019-11-14;59.72
2019-11-15;59.72
2019-11-16;59.67
2019-11-20;59.69
2019-11-21;59.73
2019-11-22;59.8
2019-11-23;59.77
2019-11-26;59.71
2019-11-28;59.77
2019-11-29;59.85
2019-11-30;59.94
2019-12-03;59.98
2019-12-04;59.93
2019-12-05;59.88
2019-12-06;59.99
2019-12-07;59.94
2019-12-10;59.95
2019-12-11;59.85
2019-12-12;59.82
2019-12-13;59.82
2019-12-14;59.82
2019-12-17;59.82
2019-12-18;59.82
2019-12-19;59.82
2019-12-20;59.82
2019-12-21;59.82
2019-12-24;59.99
2019-12-27;59.89
2019-12-28;59.83
2019-12-31;59.89
2020-01-03;59.82
2020-01-04;59.82
2020-01-07;59.82
2020-01-08;59.82
2020-01-09;59.82
2020-01-10;59.82
2020-01-11;59.82
2020-01-14;59.95
2020-01-15;60.06
2020-01-16;59.95
2020-01-17;59.98
2020-01-18;60.01
2020-01-21;60.06
2020-01-22;60.1
2020-01-23;60.07
2020-01-24;60.08
2020-01-25;60.09
2020-01-28;60.17
2020-01-29;60.18
2020-01-30;60.23
2020-01-31;60.35
2020-02-01;60.35
2020-02-04;60.47
2020-02-05;60.58
2020-02-06;60.59
2020-02-07;60.69
2020-02-08;60.78
2020-02-11;60.98
2020-02-12;61.12
2020-02-13;61.23
2020-02-14;61.39
2020-02-15;61.46
2020-02-18;61.67
2020-02-19;61.66
2020-02-20;61.73
2020-02-21;61.79
2020-02-22;61.84
2020-02-27;62.09
2020-02-28;62.14
2020-02-29;62.21
2020-03-03;62.26
2020-03-04;62.31
2020-03-05;62.36
2020-03-06;62.42
2020-03-07;62.48
2020-03-10;62.53
2020-03-11;62.59
2020-03-12;62.67
2020-03-13;62.82
2020-03-14;62.9
2020-03-17;63.04
2020-03-18;63.18
2020-03-19;63.33
2020-03-20;63.55
2020-03-21;63.77
2020-03-26;64.05
2020-03-27;64.23
2020-03-28;64.41
2020-03-31;64.47
2020-04-02;64.53
2020-04-03;64.72
2020-04-04;64.91
2020-04-07;64.99
2020-04-08;65.07
2020-04-09;65.16
2020-04-14;65.38
2020-04-15;65.5
2020-04-16;65.62
2020-04-17;65.74
2020-04-18;65.86
2020-04-21;65.98
2020-04-22;66.09
2020-04-23;66.23
2020-04-24;66.32
2020-04-25;66.43
2020-04-28;66.53
2020-04-29;66.63
2020-04-30;66.75
2020-05-01;66.84
2020-05-05;66.93
2020-05-06;67
2020-05-07;67.1
